Claim,Claim_ID,Credibility,Expert,Prob
"Meijer is offering $100 off ""Back to School"" coupons.",100-meijer-coupon,1,1,0.5
"A photograph depicts a real (giant) pizza, part of a challenge in which intrepid diners can win $1,000.",1000-pizza-challenge,1,1,0.5
"Image depicts a 102 lb. shrimp caught near Homosassa, Florida.",102-lb-shrimp,1,1,0.5
A 14-year-old girl became pregnant after receiving a flu shot.,14-year-old-pregnant-flu-shot,1,1,0.5
NASA confirmed there will be 15 straight days of darkness in November 2015.,15-days-darkness-november,1,1,0.5
"Donald Trump said in 1998 that he would one day run as a Republican because they are the ""dumbest group of voters.""",1998-trump-people-quote,1,1,0.5
"A McDonald's sign acknowledges the chain's use of ""french fry grease"" to warm coffee.",2015_07_02_mcdonalds-french-fry-grease,1,1,0.5
"A female Air Force National Guard member was denied service at a Bloomington, Minnesota, SuperAmerica station because her military uniform offended foreign cab drivers.",2015_07_14_superamerica-shunned-serviceman,1,1,0.5
"Three-hundred and eighteen people were shot and killed on Halloween in Chicago, and President Obama subsequently declared a state of emergency in the city.",318-shot-chicago-halloween,1,1,0.5
A photograph shows a 41 lb rat that was caught in New York City.,41-lb-rat-photo,1,1,0.5
