group,variable,value
0,0,47
0,1,48
0,2,21
0,3,53
0,4,24
0,5,49
0,6,89
0,7,7
0,8,89
0,9,89
0,10,18
0,11,1
0,12,68
0,13,93
0,14,28
0,15,47
0,16,87
0,17,16
0,18,20
0,19,73
0,20,90
0,21,20
0,22,42
0,23,75
0,24,29
0,25,14
0,26,76
0,27,58
0,28,64
0,29,98
1,0,55
1,1,0
1,2,74
1,3,72
1,4,13
1,5,39
1,6,57
1,7,36
1,8,50
1,9,73
1,10,27
1,11,41
1,12,95
1,13,80
1,14,67
1,15,90
1,16,74
1,17,68
1,18,42
1,19,63
1,20,35
1,21,34
1,22,16
1,23,46
1,24,93
1,25,35
1,26,49
1,27,94
1,28,67
1,29,91
2,0,20
2,1,67
2,2,50
2,3,90
2,4,0
2,5,35
2,6,44
2,7,97
2,8,9
2,9,34
2,10,48
2,11,100
2,12,54
2,13,7
2,14,34
2,15,18
2,16,95
2,17,64
2,18,51
2,19,14
2,20,18
2,21,77
2,22,4
2,23,72
2,24,83
2,25,92
2,26,27
2,27,39
2,28,0
2,29,19
3,0,35
3,1,96
3,2,97
3,3,20
3,4,36
3,5,60
3,6,49
3,7,86
3,8,47
3,9,20
3,10,47
3,11,62
3,12,57
3,13,75
3,14,68
3,15,1
3,16,98
3,17,80
3,18,86
3,19,67
3,20,89
3,21,75
3,22,54
3,23,96
3,24,26
3,25,21
3,26,89
3,27,4
3,28,60
3,29,21
4,0,35
4,1,8
4,2,98
4,3,100
4,4,42
4,5,53
4,6,4
4,7,11
4,8,98
4,9,52
4,10,19
4,11,10
4,12,70
4,13,59
4,14,16
4,15,37
4,16,56
4,17,46
4,18,42
4,19,82
4,20,30
4,21,14
4,22,86
4,23,53
4,24,40
4,25,40
4,26,96
4,27,95
4,28,7
4,29,62
5,0,38
5,1,90
5,2,57
5,3,83
5,4,31
5,5,9
5,6,29
5,7,46
5,8,4
5,9,97
5,10,22
5,11,28
5,12,78
5,13,92
5,14,25
5,15,50
5,16,45
5,17,40
5,18,79
5,19,43
5,20,24
5,21,12
5,22,88
5,23,2
5,24,13
5,25,9
5,26,88
5,27,18
5,28,76
5,29,36
6,0,67
6,1,61
6,2,46
6,3,45
6,4,30
6,5,22
6,6,92
6,7,29
6,8,43
6,9,34
6,10,7
6,11,46
6,12,30
6,13,21
6,14,10
6,15,22
6,16,58
6,17,52
6,18,6
6,19,2
6,20,69
6,21,65
6,22,62
6,23,98
6,24,33
6,25,76
6,26,84
6,27,71
6,28,81
6,29,26
7,0,64
7,1,61
7,2,54
7,3,60
7,4,50
7,5,52
7,6,24
7,7,12
7,8,16
7,9,55
7,10,71
7,11,81
7,12,84
7,13,30
7,14,24
7,15,83
7,16,9
7,17,40
7,18,45
7,19,7
7,20,83
7,21,66
7,22,30
7,23,2
7,24,40
7,25,35
7,26,51
7,27,83
7,28,47
7,29,99
8,0,93
8,1,62
8,2,11
8,3,58
8,4,88
8,5,56
8,6,32
8,7,28
8,8,51
8,9,4
8,10,63
8,11,50
8,12,72
8,13,21
8,14,73
8,15,53
8,16,55
8,17,36
8,18,24
8,19,82
8,20,79
8,21,92
8,22,88
8,23,64
8,24,53
8,25,36
8,26,77
8,27,60
8,28,55
8,29,18
9,0,53
9,1,58
9,2,76
9,3,80
9,4,34
9,5,99
9,6,42
9,7,5
9,8,13
9,9,14
9,10,13
9,11,48
9,12,1
9,13,0
9,14,86
9,15,100
9,16,72
9,17,80
9,18,8
9,19,93
9,20,88
9,21,84
9,22,67
9,23,57
9,24,91
9,25,35
9,26,27
9,27,41
9,28,68
9,29,96
10,0,63
10,1,82
10,2,16
10,3,23
10,4,15
10,5,42
10,6,3
10,7,82
10,8,75
10,9,98
10,10,43
10,11,6
10,12,27
10,13,23
10,14,8
10,15,79
10,16,55
10,17,5
10,18,55
10,19,10
10,20,14
10,21,70
10,22,29
10,23,76
10,24,46
10,25,46
10,26,50
10,27,53
10,28,61
